;Berlin;Hamburg;Munich;Cologne;Frankfurt;Stuttgart;Düsseldorf;Leipzig;Dortmund;Essen;Bremen;Dresden;Hanover;Nuremberg;Duisburg;Bochum;Wuppertal;Bielefeld;Bonn;Münster;Karlsruhe;Mannheim;Augsburg;Wiesbaden;Gelsenkirchen;Mönchengladbach;Braunschweig;Chemnitz;Kiel;Aachen;Halle;Magdeburg;Freiburg;Krefeld;Lübeck;Oberhausen;Erfurt;Mainz;Rostock;Kassel;Hagen;Hamm;Saarbrücken;Herne;Mülheim;Potsdam;Ludwigshafen;Oldenburg;Leverkusen;Osnabrück
Rostock;195.2;150.4;663.4;493.7;500.3;624.6;479.8;306.6;423.2;450.5;245.0;355.9;247.5;520.7;464.9;438.1;458.9;330.7;503.9;381.5;620.3;569.6;641.7;518.3;442.0;500.3;228.2;367.3;131.1;549.5;288.8;221.5;739.7;481.1;95.7;455.0;353.0;526.3;0.0;355.9;434.9;393.5;643.8;434.7;459.7;199.8;571.2;277.0;482.1;336.8
Kassel;300.8;251.3;384.3;180.7;145.0;282.9;188.5;201.1;141.5;172.0;201.8;298.2;119.5;235.8;189.1;158.1;162.1;103.1;178.4;146.8;267.6;215.3;342.6;162.7;167.6;211.9;128.4;246.4;337.5;244.8;173.9;173.1;386.8;201.1;295.3;182.6;114.1;170.5;355.9;0.0;140.2;122.0;290.2;159.9;180.5;273.8;216.8;221.1;174.1;145.8
Hagen;426.8;297.4;465.4;59.3;163.9;313.2;50.4;340.9;16.3;32.8;211.1;438.3;191.9;333.0;49.2;21.4;25.0;104.2;74.5;67.0;270.8;220.7;414.2;153.4;31.1;74.0;233.2;385.7;374.0;116.7;312.6;298.6;375.5;61.1;352.8;44.0;252.2;162.5;434.9;140.2;0.0;41.9;238.8;26.2;40.6;400.9;221.3;204.0;47.3;109.1
Hamm;393.2;255.5;477.0;101.2;184.1;336.6;87.6;317.6;30.0;60.6;170.0;416.9;152.6;337.7;77.5;46.6;65.4;63.2;115.5;34.4;299.5;247.4;428.2;179.9;53.3;109.8;197.2;367.6;332.6;156.6;287.6;266.2;408.6;92.9;310.9;68.6;236.1;189.4;393.5;122.0;41.9;0.0;276.7;45.1;70.3;367.8;248.3;165.6;89.0;69.2
Saarbrücken;578.5;522.4;358.2;188.7;155.2;167.6;221.6;447.5;255.0;246.3;445.0;520.5;398.1;296.5;244.6;249.7;224.4;328.6;166.6;305.7;105.6;109.9;301.6;129.2;253.3;219.3;418.3;458.3;604.6;182.7;432.6;457.0;151.4;235.2;573.9;251.0;346.8;123.0;643.8;290.2;238.8;276.7;0.0;255.7;242.4;551.4;108.2;442.2;200.8;346.0
Herne;438.2;293.2;491.5;68.7;189.6;337.8;45.4;359.1;18.5;15.9;203.2;457.5;197.0;358.9;32.4;6.2;31.3;106.8;89.1;55.5;293.9;244.7;440.2;177.8;8.2;65.8;242.3;406.3;366.5;115.0;329.9;311.0;396.0;48.0;349.6;23.7;273.4;186.7;434.7;159.9;26.2;45.1;255.7;0.0;25.5;412.7;245.3;191.5;56.0;101.0
Mülheim;463.0;317.2;496.9;53.8;192.7;336.5;22.6;380.9;41.6;9.7;226.1;478.7;222.5;368.7;8.7;24.0;25.9;132.3;77.2;79.0;289.1;242.2;444.3;176.9;17.8;40.6;267.4;426.3;389.2;90.8;352.3;335.5;386.4;22.6;373.8;8.7;292.8;185.3;459.7;180.5;40.6;70.3;242.4;25.5;0.0;437.4;242.5;212.1;42.5;124.7
Potsdam;27.2;242.3;484.8;450.8;396.5;486.3;451.3;126.1;395.8;427.8;297.0;156.1;226.2;355.2;445.0;413.3;425.4;311.3;451.3;373.8;499.1;455.9;472.6;422.9;420.9;474.7;173.0;174.1;290.3;514.4;124.6;102.3;613.4;459.8;228.2;436.4;210.0;428.5;199.8;273.8;400.9;367.8;551.4;412.7;437.4;0.0;457.8;336.8;442.3;341.1
Ludwigshafen;484.5;465.4;273.9;193.7;72.5;94.7;227.9;346.9;236.8;242.2;401.3;414.7;334.7;190.2;248.1;239.2;218.1;283.9;169.9;282.1;52.4;1.9;217.4;68.4;246.4;236.8;343.0;352.4;551.0;221.7;335.4;369.2;170.2;245.4;511.8;250.8;248.8;59.1;571.2;216.8;221.3;248.3;108.2;245.3;242.5;457.8;0.0;408.0;201.7;312.9
Oldenburg;355.4;126.8;605.3;259.9;338.7;490.4;234.6;346.9;188.3;204.7;39.8;443.1;133.1;456.1;214.2;196.8;222.0;125.6;278.3;137.4;460.2;406.9;563.2;340.9;196.4;249.5;183.6;412.4;181.5;301.1;314.0;256.9;572.6;229.3;182.1;204.9;307.6;350.3;277.0;221.1;204.0;165.6;442.2;191.5;212.1;336.8;408.0;0.0;247.1;96.7
Leverkusen;468.7;344.3;461.3;12.7;156.8;296.2;26.5;374.4;60.6;45.6;256.8;469.5;238.3;338.5;46.8;50.4;25.1;151.4;34.7;110.1;247.3;201.5;407.7;137.9;52.7;42.9;277.5;414.2;420.1;72.1;347.9;340.0;344.0;44.4;400.0;51.2;280.6;145.8;482.1;174.1;47.3;89.0;200.8;56.0;42.5;442.3;201.7;247.1;0.0;154.4
Osnabrück;364.4;192.6;524.9;167.1;245.2;397.8;146.2;315.2;94.1;116.0;102.4;415.4;115.0;379.5;128.9;105.5;129.5;43.2;183.7;45.7;364.8;311.9;479.4;245.2;107.4;164.8;168.7;373.6;265.8;215.5;282.8;244.6;476.2;145.1;249.3;119.1;251.2;254.7;336.8;145.8;109.1;69.2;346.0;101.0;124.7;341.1;312.9;96.7;154.4;0.0
